LeftHand,RightHand,Support,Confidence,Lift
"('Class / 1',)","('food / 160.0-220.0', 'transportation / 110.0-140.0', 'non-essential / 490.0-619.0')",0.01104417670682731,0.07236842105263158,4.004385964912281
"('Class / 1',)","('food / 220.0-280.0', 'transportation / 170.0-200.0', 'non-essential / 490.0-619.0')",0.010040160642570281,0.06578947368421052,3.6403508771929824
"('Class / 1',)","('food / 99.7-160.0', 'health / 101.2-150.4', 'transportation / 140.0-170.0')",0.01104417670682731,0.07236842105263158,4.805263157894737
"('Class / 1',)","('food / 99.7-160.0', 'housing / 760.4-880.2', 'transportation / 140.0-170.0')",0.012048192771084338,0.07894736842105263,6.552631578947368
"('Class / 1',)","('food / 99.7-160.0', 'transportation / 140.0-170.0', 'non-essential / 490.0-619.0')",0.010040160642570281,0.06578947368421052,3.6403508771929824
"('Class / 1',)","('housing / 760.4-880.2', 'transportation / 110.0-140.0', 'non-essential / 490.0-619.0')",0.012048192771084338,0.07894736842105263,3.1452631578947368
"('Class / 1',)","('housing / 880.2-1000.0', 'transportation / 170.0-200.0', 'non-essential / 490.0-619.0')",0.013052208835341365,0.08552631578947367,4.48337950138504
"('Class / 1',)","('housing / 880.2-1000.0', 'non-essential / 490.0-619.0', 'university / 450.05-500.0')",0.010040160642570281,0.06578947368421052,3.6403508771929824
"('Class / 2',)","('health / 101.2-150.4', 'housing / 640.6-760.4', 'food / 160.0-220.0')",0.010040160642570281,0.05,3.1125000000000003
"('Class / 2',)","('transportation / 80.0-110.0', 'health / 101.2-150.4', 'food / 160.0-220.0')",0.013052208835341365,0.065,4.316
"('Class / 2',)","('non-essential / 361.0-490.0', 'health / 150.4-199.6', 'food / 160.0-220.0')",0.010040160642570281,0.05,3.3200000000000003
"('Class / 2',)","('health / 150.4-199.6', 'transportation / 49.85-80.0', 'food / 160.0-220.0')",0.01104417670682731,0.055,4.9799999999999995
"('Class / 2',)","('transportation / 80.0-110.0', 'housing / 640.6-760.4', 'food / 160.0-220.0')",0.013052208835341365,0.065,4.6242857142857146
"('Class / 2',)","('income / 1334.0-1721.0', 'transportation / 80.0-110.0', 'food / 160.0-220.0')",0.01104417670682731,0.055,3.652
"('Class / 2',)","('income / 947.0-1334.0', 'transportation / 49.85-80.0', 'food / 160.0-220.0')",0.01104417670682731,0.055,4.9799999999999995
"('Class / 2',)","('non-essential / 361.0-490.0', 'transportation / 49.85-80.0', 'food / 160.0-220.0')",0.010040160642570281,0.05,4.98
"('Class / 2',)","('non-essential / 490.0-619.0', 'transportation / 49.85-80.0', 'food / 160.0-220.0')",0.010040160642570281,0.05,4.98
"('Class / 2',)","('transportation / 80.0-110.0', 'non-essential / 490.0-619.0', 'food / 160.0-220.0')",0.01104417670682731,0.055,3.652
"('Class / 2',)","('food / 220.0-280.0', 'housing / 880.2-1000.0', 'transportation / 49.85-80.0')",0.010040160642570281,0.05,4.527272727272727
"('Class / 2',)","('food / 220.0-280.0', 'income / 1334.0-1721.0', 'transportation / 49.85-80.0')",0.01104417670682731,0.055,4.213846153846154
"('Class / 2',)","('food / 220.0-280.0', 'transportation / 49.85-80.0', 'non-essential / 490.0-619.0')",0.012048192771084338,0.060000000000000005,3.9840000000000004
"('Class / 2',)","('food / 220.0-280.0', 'university / 400.1-450.05', 'transportation / 49.85-80.0')",0.010040160642570281,0.05,3.8307692307692314
"('Class / 2',)","('food / 99.7-160.0', 'transportation / 49.85-80.0', 'health / 101.2-150.4')",0.018072289156626505,0.09,4.98
"('Class / 2',)","('food / 99.7-160.0', 'transportation / 49.85-80.0', 'health / 150.4-199.6')",0.01104417670682731,0.055,4.9799999999999995
"('Class / 2',)","('food / 99.7-160.0', 'housing / 760.4-880.2', 'health / 199.6-248.8')",0.01104417670682731,0.055,3.2223529411764704
"('Class / 2',)","('food / 99.7-160.0', 'health / 199.6-248.8', 'transportation / 49.85-80.0')",0.010040160642570281,0.05,4.98
"('Class / 2',)","('food / 99.7-160.0', 'transportation / 49.85-80.0', 'housing / 640.6-760.4')",0.01104417670682731,0.055,4.9799999999999995
"('Class / 2',)","('food / 99.7-160.0', 'housing / 760.4-880.2', 'transportation / 49.85-80.0')",0.015060240963855422,0.075,4.9799999999999995
"('Class / 2',)","('transportation / 80.0-110.0', 'food / 99.7-160.0', 'housing / 760.4-880.2')",0.010040160642570281,0.05,4.527272727272727
"('Class / 2',)","('income / 1334.0-1721.0', 'food / 99.7-160.0', 'transportation / 49.85-80.0')",0.012048192771084338,0.060000000000000005,4.98
"('Class / 2',)","('food / 99.7-160.0', 'transportation / 49.85-80.0', 'income / 1721.0-2108.0')",0.012048192771084338,0.060000000000000005,4.98
"('Class / 2',)","('food / 99.7-160.0', 'income / 947.0-1334.0', 'transportation / 49.85-80.0')",0.014056224899598393,0.06999999999999999,4.9799999999999995
"('Class / 2',)","('transportation / 80.0-110.0', 'food / 99.7-160.0', 'non-essential / 361.0-490.0')",0.012048192771084338,0.060000000000000005,4.596923076923077
"('Class / 2',)","('food / 99.7-160.0', 'transportation / 49.85-80.0', 'non-essential / 490.0-619.0')",0.019076305220883535,0.095,4.9799999999999995
"('Class / 2',)","('food / 99.7-160.0', 'transportation / 49.85-80.0', 'non-essential / 619.0-748.0')",0.010040160642570281,0.05,4.98
"('Class / 2',)","('food / 99.7-160.0', 'university / 400.1-450.05', 'transportation / 49.85-80.0')",0.01104417670682731,0.055,4.9799999999999995
"('Class / 2',)","('food / 99.7-160.0', 'transportation / 49.85-80.0', 'university / 450.05-500.0')",0.012048192771084338,0.060000000000000005,4.98
"('Class / 2',)","('transportation / 49.85-80.0', 'health / 101.2-150.4', 'housing / 640.6-760.4')",0.012048192771084338,0.060000000000000005,3.3200000000000003
